dataset;gene;soustype;typesurvie;pval_logRank;HR;n;FDR_logrank
GSE25066;NSD1;Luminal-B;DFS;0,07;-1,1;78;0,23
GSE25066;NSD1;HER2-enriched;DFS;0,13;-1,2;37;0,23
GSE25066;NSD1;Basal-like;DFS;0,54;-0,2;189;0,60
GSE25066;ZNF106;All-tumours;DFS;0,79;0,1;508;0,79
GSE25066;ZNF106;Luminal-A;DFS;0,26;-0,4;160;0,47
GSE25066;ZNF106;Luminal-B;DFS;0,02;1,5;78;0,10
GSE25066;ZNF106;HER2-enriched;DFS;0,52;-0,5;37;0,65
GSE25066;ZNF106;Basal-like;DFS;0,28;-0,3;189;0,47
GSE25066;WDR13;All-tumours;DFS;0,06;0,4;508;0,30
GSE25066;WDR13;Luminal-A;DFS;0,31;0,4;160;0,77
GSE25066;WDR13;Luminal-B;DFS;0,54;0,4;78;0,80
GSE25066;WDR13;HER2-enriched;DFS;0,8;-0,2;37;0,80
GSE25066;WDR13;Basal-like;DFS;0,72;0,1;189;0,80
GSE25066;METTL17;All-tumours;DFS;0;0,6;508;0,00
GSE25066;METTL17;Luminal-A;DFS;0,15;0,6;160;0,21
GSE25066;METTL17;Luminal-B;DFS;0,17;-0,9;78;0,21
GSE25066;METTL17;HER2-enriched;DFS;0,09;1,4;37;0,21
GSE25066;METTL17;Basal-like;DFS;0,22;0,3;189;0,22
GSE25066;SMYD3;All-tumours;DFS;0,64;0,1;508;0,71
GSE25066;SMYD3;Luminal-A;DFS;0,17;0,5;160;0,48
GSE25066;SMYD3;Luminal-B;DFS;0,71;0,2;78;0,71
GSE25066;SMYD3;HER2-enriched;DFS;0,29;-0,9;37;0,48
GSE25066;SMYD3;Basal-like;DFS;0,21;-0,3;189;0,48
GSE25066;METTL4;All-tumours;DFS;0,13;-0,3;508;0,22
GSE25066;METTL4;Luminal-A;DFS;0,99;0;160;0,99
GSE25066;METTL4;Luminal-B;DFS;0,12;1;78;0,22
GSE25066;METTL4;HER2-enriched;DFS;0,99;0;37;0,99
GSE25066;METTL4;Basal-like;DFS;0,06;-0,5;189;0,22
GSE25066;NBEAL1;All-tumours;DFS;0,03;0,4;508;0,15
GSE25066;NBEAL1;Luminal-A;DFS;0,06;0,8;160;0,15
GSE25066;NBEAL1;Luminal-B;DFS;0,62;-0,3;78;0,62
GSE25066;NBEAL1;HER2-enriched;DFS;0,36;0,8;37;0,45
GSE25066;NBEAL1;Basal-like;DFS;0,19;0,4;189;0,32
GSE25066;ANTKMT;All-tumours;DFS;0;0,9;508;0,00
GSE25066;ANTKMT;Luminal-A;DFS;0,13;0,6;160;0,32
GSE25066;ANTKMT;Luminal-B;DFS;0,92;0,1;78;0,92
GSE25066;ANTKMT;HER2-enriched;DFS;0,19;1,1;37;0,32
GSE25066;ANTKMT;Basal-like;DFS;0,69;0,1;189;0,86
GSE25066;NUP37;All-tumours;DFS;0,63;-0,1;508;0,94
GSE25066;NUP37;Luminal-A;DFS;0,08;-0,7;160;0,40
GSE25066;NUP37;Luminal-B;DFS;0,94;0;78;0,94
GSE25066;NUP37;HER2-enriched;DFS;0,87;0,1;37;0,94
GSE25066;NUP37;Basal-like;DFS;0,4;0,2;189;0,94
GSE25066;ZFYVE21;All-tumours;DFS;0,02;0,5;508;0,10
GSE25066;ZFYVE21;Luminal-A;DFS;0,06;0,8;160;0,15
GSE25066;ZFYVE21;Luminal-B;DFS;0,51;0,4;78;0,51
GSE25066;ZFYVE21;HER2-enriched;DFS;0,22;1;37;0,37
GSE25066;ZFYVE21;Basal-like;DFS;0,48;0,2;189;0,51
GSE25066;METTL16;All-tumours;DFS;0,93;0;508;0,93
GSE25066;METTL16;Luminal-A;DFS;0,67;-0,2;160;0,93
GSE25066;METTL16;Luminal-B;DFS;0,81;-0,1;78;0,93
GSE25066;METTL16;HER2-enriched;DFS;0,15;1,4;37;0,75
GSE25066;METTL16;Basal-like;DFS;0,82;-0,1;189;0,93
GSE25066;MLPH;All-tumours;DFS;0;0,8;508;0,00
GSE25066;MLPH;Luminal-A;DFS;0,01;1,1;160;0,02
GSE25066;MLPH;Luminal-B;DFS;0,52;0,4;78;0,65
GSE25066;MLPH;HER2-enriched;DFS;0,82;-0,2;37;0,82
GSE25066;MLPH;Basal-like;DFS;0,02;-0,7;189;0,03
GSE25066;WDR77;All-tumours;DFS;0,39;-0,2;508;0,65
GSE25066;WDR77;Luminal-A;DFS;0;1,2;160;0,00
GSE25066;WDR77;Luminal-B;DFS;0,94;0;78;0,94
GSE25066;WDR77;HER2-enriched;DFS;0,68;0,3;37;0,85
GSE25066;WDR77;Basal-like;DFS;0,34;0,3;189;0,65
GSE25066;METTL22;All-tumours;DFS;0,24;0,2;508;0,60
GSE25066;METTL22;Luminal-A;DFS;0,36;0,4;160;0,60
GSE25066;METTL22;Luminal-B;DFS;0,66;-0,3;78;0,83
GSE25066;METTL22;HER2-enriched;DFS;0,12;-1,2;37;0,60
GSE25066;METTL22;Basal-like;DFS;0,94;0;189;0,94
GSE25066;PLEKHF1;All-tumours;DFS;0,01;-0,5;508;0,05
GSE25066;PLEKHF1;Luminal-A;DFS;0,27;-0,4;160;0,34
GSE25066;PLEKHF1;Luminal-B;DFS;0,4;0,5;78;0,40
GSE25066;PLEKHF1;HER2-enriched;DFS;0,22;-1;37;0,34
GSE25066;PLEKHF1;Basal-like;DFS;0,2;-0,3;189;0,34
GSE25066;THOC6;All-tumours;DFS;0,21;0,2;508;0,68
GSE25066;THOC6;Luminal-A;DFS;0,93;0;160;0,93
GSE25066;THOC6;Luminal-B;DFS;0,49;-0,4;78;0,68
GSE25066;THOC6;HER2-enriched;DFS;0,48;0,6;37;0,68
GSE25066;THOC6;Basal-like;DFS;0,54;0,2;189;0,68
GSE25066;DCAF10;All-tumours;DFS;0;0,6;508;0,00
GSE25066;DCAF10;Luminal-A;DFS;0,17;0,6;160;0,28
GSE25066;DCAF10;Luminal-B;DFS;0,57;-0,3;78;0,57
GSE25066;DCAF10;HER2-enriched;DFS;0,01;18,2;37;0,02
GSE25066;DCAF10;Basal-like;DFS;0,32;-0,3;189;0,40
GSE25066;FYCO1;All-tumours;DFS;0,02;0,5;508;0,05
GSE25066;FYCO1;Luminal-A;DFS;0,04;0,8;160;0,07
GSE25066;FYCO1;Luminal-B;DFS;0,76;-0,2;78;0,76
GSE25066;FYCO1;HER2-enriched;DFS;0;18,3;37;0,00
GSE25066;FYCO1;Basal-like;DFS;0,55;0,2;189;0,69
GSE25066;WDR25;All-tumours;DFS;0,01;0,5;508;0,05
GSE25066;WDR25;Luminal-A;DFS;0,88;-0,1;160;0,88
GSE25066;WDR25;Luminal-B;DFS;0,18;0,8;78;0,42
GSE25066;WDR25;HER2-enriched;DFS;0,25;0,9;37;0,42
GSE25066;WDR25;Basal-like;DFS;0,66;-0,1;189;0,83
GSE25066;SPAG16;All-tumours;DFS;0,99;0;508;0,99
GSE25066;SPAG16;Luminal-A;DFS;0,95;0;160;0,99
GSE25066;SPAG16;Luminal-B;DFS;0,35;-0,5;78;0,99
GSE25066;SPAG16;HER2-enriched;DFS;0,73;0,3;37;0,99
GSE25066;SPAG16;Basal-like;DFS;0,83;-0,1;189;0,99
GSE25066;CORO7;All-tumours;DFS;0,04;-0,4;508;0,10
GSE25066;CORO7;Luminal-A;DFS;0,23;-0,5;160;0,38
GSE25066;CORO7;Luminal-B;DFS;0,83;0,1;78;0,83
GSE25066;CORO7;HER2-enriched;DFS;0,49;-0,5;37;0,61
GSE25066;CORO7;Basal-like;DFS;0,01;-0,8;189;0,05
GSE25066;VCPKMT;All-tumours;DFS;0,54;0,1;508;0,71
GSE25066;VCPKMT;Luminal-A;DFS;0,89;-0,1;160;0,89
GSE25066;VCPKMT;Luminal-B;DFS;0,35;0,6;78;0,71
GSE25066;VCPKMT;HER2-enriched;DFS;0,57;-0,4;37;0,71
GSE25066;VCPKMT;Basal-like;DFS;0,54;0,2;189;0,71
GSE25066;PLEKHF2;All-tumours;DFS;0;0,6;508;0,00
GSE25066;PLEKHF2;Luminal-A;DFS;0,3;0,4;160;0,50
GSE25066;PLEKHF2;Luminal-B;DFS;0,95;0;78;0,95
GSE25066;PLEKHF2;HER2-enriched;DFS;0,25;0,9;37;0,50
GSE25066;PLEKHF2;Basal-like;DFS;0,58;0,2;189;0,72
GSE25066;MORC4;All-tumours;DFS;0,85;0;508;0,99
GSE25066;MORC4;Luminal-A;DFS;0,34;-0,4;160;0,85
GSE25066;MORC4;Luminal-B;DFS;0,99;0;78;0,99
GSE25066;MORC4;HER2-enriched;DFS;0,8;-0,2;37;0,99
GSE25066;MORC4;Basal-like;DFS;0,31;0,3;189;0,85
GSE25066;IPO4;All-tumours;DFS;0;0,6;508;0,00
GSE25066;IPO4;Luminal-A;DFS;0,22;0,5;160;0,53
GSE25066;IPO4;Luminal-B;DFS;0,32;-0,6;78;0,53
GSE25066;IPO4;HER2-enriched;DFS;0,75;-0,2;37;0,75
GSE25066;IPO4;Basal-like;DFS;0,67;-0,1;189;0,75
GSE25066;TBL1XR1;All-tumours;DFS;0;0,7;508;0,00
GSE25066;TBL1XR1;Luminal-A;DFS;0,04;0,8;160;0,10
GSE25066;TBL1XR1;Luminal-B;DFS;0,56;-0,4;78;0,71
GSE25066;TBL1XR1;HER2-enriched;DFS;0,71;0,3;37;0,71
GSE25066;TBL1XR1;Basal-like;DFS;0,6;0,1;189;0,71
GSE25066;SUV39H2;All-tumours;DFS;0,19;-0,3;508;0,35
GSE25066;SUV39H2;Luminal-A;DFS;0,21;-0,5;160;0,35
GSE25066;SUV39H2;Luminal-B;DFS;0,15;0,9;78;0,35
GSE25066;SUV39H2;HER2-enriched;DFS;0,69;0,3;37;0,69
GSE25066;SUV39H2;Basal-like;DFS;0,33;0,3;189;0,41
GSE25066;WDR59;All-tumours;DFS;0,3;0,2;508;0,52
GSE25066;WDR59;Luminal-A;DFS;0,31;-0,4;160;0,52
GSE25066;WDR59;Luminal-B;DFS;0,74;-0,2;78;0,74
GSE25066;WDR59;HER2-enriched;DFS;0,7;-0,3;37;0,74
GSE25066;WDR59;Basal-like;DFS;0,01;0,7;189;0,05
GSE25066;ZNF408;All-tumours;DFS;0,89;0;508;0,97
GSE25066;ZNF408;Luminal-A;DFS;0,8;0,1;160;0,97
GSE25066;ZNF408;Luminal-B;DFS;0,97;0;78;0,97
GSE25066;ZNF408;HER2-enriched;DFS;0,63;0,4;37;0,97
GSE25066;ZNF408;Basal-like;DFS;0,95;0;189;0,97
GSE25066;GSTCD;All-tumours;DFS;0,23;0,2;508;0,70
GSE25066;GSTCD;Luminal-A;DFS;0,28;0,4;160;0,70
GSE25066;GSTCD;Luminal-B;DFS;0,5;0,4;78;0,83
GSE25066;GSTCD;HER2-enriched;DFS;0,95;0;37;0,95
GSE25066;GSTCD;Basal-like;DFS;0,73;0,1;189;0,91
GSE25066;EHMT1;All-tumours;DFS;0,18;0,3;508;0,59
GSE25066;EHMT1;Luminal-A;DFS;0,64;0,2;160;0,64
GSE25066;EHMT1;Luminal-B;DFS;0,34;0,6;78;0,59
GSE25066;EHMT1;HER2-enriched;DFS;0,43;0,7;37;0,59
GSE25066;EHMT1;Basal-like;DFS;0,47;0,2;189;0,59
GSE25066;DNAI4;All-tumours;DFS;0,13;-0,3;508;0,33
GSE25066;DNAI4;Luminal-A;DFS;0,2;0,5;160;0,33
GSE25066;DNAI4;Luminal-B;DFS;0,57;-0,4;78;0,57
GSE25066;DNAI4;HER2-enriched;DFS;0,48;-0,5;37;0,57
GSE25066;DNAI4;Basal-like;DFS;0,07;-0,5;189;0,33
GSE25066;CAMKMT;All-tumours;DFS;0,33;-0,2;508;0,95
GSE25066;CAMKMT;Luminal-A;DFS;0,8;-0,1;160;0,95
GSE25066;CAMKMT;Luminal-B;DFS;0,44;-0,5;78;0,95
GSE25066;CAMKMT;HER2-enriched;DFS;0,95;0;37;0,95
GSE25066;CAMKMT;Basal-like;DFS;0,87;0;189;0,95
GSE25066;METTL8;All-tumours;DFS;0,29;-0,2;508;0,72
GSE25066;METTL8;Luminal-A;DFS;0,67;0,2;160;0,92
GSE25066;METTL8;Luminal-B;DFS;0,15;-0,9;78;0,72
GSE25066;METTL8;HER2-enriched;DFS;0,78;-0,2;37;0,92
GSE25066;METTL8;Basal-like;DFS;0,92;0;189;0,92
GSE25066;ALG13;All-tumours;DFS;0,9;0;508;0,90
GSE25066;ALG13;Luminal-A;DFS;0,76;0,1;160;0,90
GSE25066;ALG13;Luminal-B;DFS;0,76;-0,2;78;0,90
GSE25066;ALG13;HER2-enriched;DFS;0,81;0,2;37;0,90
GSE25066;ALG13;Basal-like;DFS;0,43;-0,2;189;0,90
GSE25066;SETD6;All-tumours;DFS;0,01;-0,5;508;0,05
GSE25066;SETD6;Luminal-A;DFS;0,11;-0,7;160;0,27
GSE25066;SETD6;Luminal-B;DFS;0,71;-0,2;78;0,83
GSE25066;SETD6;HER2-enriched;DFS;0,83;-0,2;37;0,83
GSE25066;SETD6;Basal-like;DFS;0,24;-0,3;189;0,40
GSE25066;JADE1;All-tumours;DFS;0,67;0,1;508;0,84
GSE25066;JADE1;Luminal-A;DFS;0,87;-0,1;160;0,87
GSE25066;JADE1;Luminal-B;DFS;0,62;0,3;78;0,84
GSE25066;JADE1;HER2-enriched;DFS;0,03;-2;37;0,15
GSE25066;JADE1;Basal-like;DFS;0,65;-0,1;189;0,84
GSE25066;CHD9;All-tumours;DFS;0,64;0,1;508;0,64
GSE25066;CHD9;Luminal-A;DFS;0,27;-0,4;160;0,64
GSE25066;CHD9;Luminal-B;DFS;0,61;-0,3;78;0,64
GSE25066;CHD9;HER2-enriched;DFS;0,64;-0,4;37;0,64
GSE25066;CHD9;Basal-like;DFS;0,59;0,1;189;0,64
GSE25066;PAAF1;All-tumours;DFS;0,38;0,2;508;0,82
GSE25066;PAAF1;Luminal-A;DFS;0,82;0,1;160;0,82
GSE25066;PAAF1;Luminal-B;DFS;0,09;-1,1;78;0,45
GSE25066;PAAF1;HER2-enriched;DFS;0,72;0,3;37;0,82
GSE25066;PAAF1;Basal-like;DFS;0,74;0,1;189;0,82
GSE25066;RUFY1;All-tumours;DFS;0,2;0,2;508;0,33
GSE25066;RUFY1;Luminal-A;DFS;0,67;0,2;160;0,67
GSE25066;RUFY1;Luminal-B;DFS;0,11;-1;78;0,27
GSE25066;RUFY1;HER2-enriched;DFS;0,04;-1,9;37;0,20
GSE25066;RUFY1;Basal-like;DFS;0,3;0,3;189;0,37
GSE25066;WDR26;All-tumours;DFS;0,64;-0,1;508;0,95
GSE25066;WDR26;Luminal-A;DFS;0,65;0,2;160;0,95
GSE25066;WDR26;Luminal-B;DFS;0,08;-1,1;78;0,40
GSE25066;WDR26;HER2-enriched;DFS;0,79;0,2;37;0,95
GSE25066;WDR26;Basal-like;DFS;0,95;0;189;0,95
GSE25066;WDR82;All-tumours;DFS;0,1;-0,3;508;0,25
GSE25066;WDR82;Luminal-A;DFS;0,74;0,1;160;0,74
GSE25066;WDR82;Luminal-B;DFS;0,04;-1,5;78;0,20
GSE25066;WDR82;HER2-enriched;DFS;0,53;-0,5;37;0,74
GSE25066;WDR82;Basal-like;DFS;0,71;0,1;189;0,74
GSE25066;DCAF11;All-tumours;DFS;0,01;0,5;508;0,05
GSE25066;DCAF11;Luminal-A;DFS;0,19;0,5;160;0,37
GSE25066;DCAF11;Luminal-B;DFS;0,3;0,6;78;0,37
GSE25066;DCAF11;HER2-enriched;DFS;0,37;-0,8;37;0,37
GSE25066;DCAF11;Basal-like;DFS;0,34;0,3;189;0,37
GSE25066;SKIC8;All-tumours;DFS;0,45;-0,1;508;0,64
GSE25066;SKIC8;Luminal-A;DFS;0,63;-0,2;160;0,64
GSE25066;SKIC8;Luminal-B;DFS;0,49;0,4;78;0,64
GSE25066;SKIC8;HER2-enriched;DFS;0,56;-0,4;37;0,64
GSE25066;SKIC8;Basal-like;DFS;0,64;-0,1;189;0,64
GSE25066;THUMPD2;All-tumours;DFS;0,81;0;508;0,81
GSE25066;THUMPD2;Luminal-A;DFS;0,22;0,5;160;0,67
GSE25066;THUMPD2;Luminal-B;DFS;0,57;0,3;78;0,71
GSE25066;THUMPD2;HER2-enriched;DFS;0,35;0,7;37;0,67
GSE25066;THUMPD2;Basal-like;DFS;0,4;0,2;189;0,67
GSE25066;ASXL3;All-tumours;DFS;0,45;-0,1;508;0,75
GSE25066;ASXL3;Luminal-A;DFS;0,92;0;160;0,92
GSE25066;ASXL3;Luminal-B;DFS;0,33;0,6;78;0,75
GSE25066;ASXL3;HER2-enriched;DFS;0,92;0,1;37;0,92
GSE25066;ASXL3;Basal-like;DFS;0,25;-0,3;189;0,75
GSE25066;TDRD3;All-tumours;DFS;0,9;0;508;0,93
GSE25066;TDRD3;Luminal-A;DFS;0,32;-0,4;160;0,80
GSE25066;TDRD3;Luminal-B;DFS;0,93;0,1;78;0,93
GSE25066;TDRD3;HER2-enriched;DFS;0,27;-0,9;37;0,80
GSE25066;TDRD3;Basal-like;DFS;0,88;0;189;0,93
GSE25066;SEH1L;All-tumours;DFS;0,58;0,1;508;0,96
GSE25066;SEH1L;Luminal-A;DFS;0,14;0,6;160;0,70
GSE25066;SEH1L;Luminal-B;DFS;0,91;0,1;78;0,96
GSE25066;SEH1L;HER2-enriched;DFS;0,96;0;37;0,96
GSE25066;SEH1L;Basal-like;DFS;0,61;0,1;189;0,96
GSE25066;DOHH;All-tumours;DFS;0,51;0,1;508;0,64
GSE25066;DOHH;Luminal-A;DFS;0,2;-0,5;160;0,50
GSE25066;DOHH;Luminal-B;DFS;0,45;0,5;78;0,64
GSE25066;DOHH;HER2-enriched;DFS;0,7;-0,3;37;0,70
GSE25066;DOHH;Basal-like;DFS;0,13;0,4;189;0,50
GSE25066;GRWD1;All-tumours;DFS;0,78;-0,1;508;0,97
GSE25066;GRWD1;Luminal-A;DFS;0,04;-0,8;160;0,20
GSE25066;GRWD1;Luminal-B;DFS;0,97;0;78;0,97
GSE25066;GRWD1;HER2-enriched;DFS;0,97;0;37;0,97
GSE25066;GRWD1;Basal-like;DFS;0,29;0,3;189;0,72
GSE25066;KAT8;All-tumours;DFS;0,36;-0,2;508;0,68
GSE25066;KAT8;Luminal-A;DFS;0,85;-0,1;160;0,85
GSE25066;KAT8;Luminal-B;DFS;0,41;0,5;78;0,68
GSE25066;KAT8;HER2-enriched;DFS;0,83;0,2;37;0,85
GSE25066;KAT8;Basal-like;DFS;0,25;-0,3;189;0,68
GSE25066;SETD3;All-tumours;DFS;0,17;0,3;508;0,43
GSE25066;SETD3;Luminal-A;DFS;0,32;-0,4;160;0,53
GSE25066;SETD3;Luminal-B;DFS;0,75;-0,2;78;0,75
GSE25066;SETD3;HER2-enriched;DFS;0,09;1,7;37;0,43
GSE25066;SETD3;Basal-like;DFS;0,48;-0,2;189;0,60
GSE25066;DOT1L;All-tumours;DFS;0,46;0,1;508;0,86
GSE25066;DOT1L;Luminal-A;DFS;0,74;-0,1;160;0,86
GSE25066;DOT1L;Luminal-B;DFS;0,7;0,2;78;0,86
GSE25066;DOT1L;HER2-enriched;DFS;0,24;-1;37;0,86
GSE25066;DOT1L;Basal-like;DFS;0,86;0;189;0,86
GSE25066;GLYR1;All-tumours;DFS;0,03;-0,4;508;0,15
GSE25066;GLYR1;Luminal-A;DFS;0,22;-0,5;160;0,52
GSE25066;GLYR1;Luminal-B;DFS;0,31;0,7;78;0,52
GSE25066;GLYR1;HER2-enriched;DFS;0,85;-0,2;37;0,85
GSE25066;GLYR1;Basal-like;DFS;0,44;-0,2;189;0,55
GSE25066;CBX2;All-tumours;DFS;0,03;-0,4;508;0,15
GSE25066;CBX2;Luminal-A;DFS;0,52;-0,3;160;0,52
GSE25066;CBX2;Luminal-B;DFS;0,39;-0,5;78;0,49
GSE25066;CBX2;HER2-enriched;DFS;0,27;-0,9;37;0,49
GSE25066;CBX2;Basal-like;DFS;0,37;0,2;189;0,49
GSE25066;FAM86B1;All-tumours;DFS;0,65;-0,1;508;0,65
GSE25066;FAM86B1;Luminal-A;DFS;0,25;0,5;160;0,42
GSE25066;FAM86B1;Luminal-B;DFS;0,07;-1,1;78;0,18
GSE25066;FAM86B1;HER2-enriched;DFS;0,07;-1,8;37;0,18
GSE25066;FAM86B1;Basal-like;DFS;0,36;-0,2;189;0,45
GSE25066;TBL1Y;All-tumours;DFS;0,3;-0,2;508;0,75
GSE25066;TBL1Y;Luminal-A;DFS;0,12;-0,6;160;0,60
GSE25066;TBL1Y;Luminal-B;DFS;0,85;-0,1;78;0,85
GSE25066;TBL1Y;HER2-enriched;DFS;0,64;-0,4;37;0,80
GSE25066;TBL1Y;Basal-like;DFS;0,46;-0,2;189;0,77
GSE25066;TDRD12;All-tumours;DFS;0,01;-0,5;508;0,05
GSE25066;TDRD12;Luminal-A;DFS;0,27;-0,4;160;0,50
GSE25066;TDRD12;Luminal-B;DFS;0,86;0,1;78;0,86
GSE25066;TDRD12;HER2-enriched;DFS;0,64;-0,4;37;0,80
GSE25066;TDRD12;Basal-like;DFS;0,3;-0,3;189;0,50
GSE25066;METTL18;All-tumours;DFS;0,22;0,2;508;0,37
GSE25066;METTL18;Luminal-A;DFS;0,2;0,5;160;0,37
GSE25066;METTL18;Luminal-B;DFS;0,83;0,1;78;0,83
GSE25066;METTL18;HER2-enriched;DFS;0,8;-0,2;37;0,83
GSE25066;METTL18;Basal-like;DFS;0,22;0,3;189;0,37
GSE25066;SP140L;All-tumours;DFS;0,41;0,2;508;0,68
GSE25066;SP140L;Luminal-A;DFS;0,61;-0,2;160;0,76
GSE25066;SP140L;Luminal-B;DFS;0,92;-0,1;78;0,92
GSE25066;SP140L;HER2-enriched;DFS;0,41;-0,6;37;0,68
GSE25066;SP140L;Basal-like;DFS;0,25;0,3;189;0,68
GSE25066;TBC1D31;All-tumours;DFS;0,25;-0,2;508;0,42
GSE25066;TBC1D31;Luminal-A;DFS;0;-1,3;160;0,00
GSE25066;TBC1D31;Luminal-B;DFS;0,75;0,2;78;0,94
GSE25066;TBC1D31;HER2-enriched;DFS;0,02;2,2;37;0,05
GSE25066;TBC1D31;Basal-like;DFS;0,98;0;189;0,98
GSE25066;TGS1;All-tumours;DFS;0,03;-0,4;508;0,15
GSE25066;TGS1;Luminal-A;DFS;0,52;-0,3;160;0,52
GSE25066;TGS1;Luminal-B;DFS;0,14;-0,9;78;0,35
GSE25066;TGS1;HER2-enriched;DFS;0,3;0,8;37;0,50
GSE25066;TGS1;Basal-like;DFS;0,46;-0,2;189;0,52
GSE25066;BUD23;All-tumours;DFS;0,05;0,4;508;0,25
GSE25066;BUD23;Luminal-A;DFS;0,18;0,5;160;0,30
GSE25066;BUD23;Luminal-B;DFS;0,34;0,6;78;0,34
GSE25066;BUD23;HER2-enriched;DFS;0,18;1,1;37;0,30
GSE25066;BUD23;Basal-like;DFS;0,33;0,3;189;0,34
GSE25066;PWWP2A;All-tumours;DFS;0,79;-0,1;508;0,79
GSE25066;PWWP2A;Luminal-A;DFS;0,78;0,1;160;0,79
GSE25066;PWWP2A;Luminal-B;DFS;0,1;1,2;78;0,22
GSE25066;PWWP2A;HER2-enriched;DFS;0,06;1,8;37;0,22
GSE25066;PWWP2A;Basal-like;DFS;0,13;-0,4;189;0,22
GSE25066;FTSJ3;All-tumours;DFS;0,08;0,3;508;0,15
GSE25066;FTSJ3;Luminal-A;DFS;0,44;0,3;160;0,44
GSE25066;FTSJ3;Luminal-B;DFS;0,09;-1,3;78;0,15
GSE25066;FTSJ3;HER2-enriched;DFS;0,03;2;37;0,15
GSE25066;FTSJ3;Basal-like;DFS;0,19;0,4;189;0,24
GSE25066;ZCWPW2;All-tumours;DFS;0,55;-0,1;508;0,92
GSE25066;ZCWPW2;Luminal-A;DFS;0,71;-0,1;160;0,92
GSE25066;ZCWPW2;Luminal-B;DFS;0,74;0,2;78;0,92
GSE25066;ZCWPW2;HER2-enriched;DFS;0,99;0;37;0,99
GSE25066;ZCWPW2;Basal-like;DFS;0,51;0,2;189;0,92
GSE25066;ASXL1;All-tumours;DFS;0,44;0,1;508;0,55
GSE25066;ASXL1;Luminal-A;DFS;0,19;0,5;160;0,48
GSE25066;ASXL1;Luminal-B;DFS;0,79;-0,2;78;0,79
GSE25066;ASXL1;HER2-enriched;DFS;0,3;0,9;37;0,50
GSE25066;ASXL1;Basal-like;DFS;0,11;0,4;189;0,48
GSE25066;EEF2KMT;All-tumours;DFS;0,4;-0,2;508;0,40
GSE25066;EEF2KMT;Luminal-A;DFS;0,12;0,7;160;0,20
GSE25066;EEF2KMT;Luminal-B;DFS;0,17;-0,8;78;0,21
GSE25066;EEF2KMT;HER2-enriched;DFS;0,06;-1,8;37;0,20
GSE25066;EEF2KMT;Basal-like;DFS;0,11;-0,4;189;0,20
GSE25066;PIKFYVE;All-tumours;DFS;1;0;508;1,00
GSE25066;PIKFYVE;Luminal-A;DFS;0,86;0,1;160;1,00
GSE25066;PIKFYVE;Luminal-B;DFS;0,91;-0,1;78;1,00
GSE25066;PIKFYVE;HER2-enriched;DFS;0,52;-0,5;37;1,00
GSE25066;PIKFYVE;Basal-like;DFS;0,87;0;189;1,00
GSE25066;CDY2B;All-tumours;DFS;0,12;-0,3;508;0,52
GSE25066;CDY2B;Luminal-A;DFS;0,99;0;160;0,99
GSE25066;CDY2B;Luminal-B;DFS;0,59;0,3;78;0,77
GSE25066;CDY2B;HER2-enriched;DFS;0,62;-0,4;37;0,77
GSE25066;CDY2B;Basal-like;DFS;0,21;-0,3;189;0,52
GSE25066;FGD2;All-tumours;DFS;0,02;-0,4;508;0,10
GSE25066;FGD2;Luminal-A;DFS;0,82;-0,1;160;0,82
GSE25066;FGD2;Luminal-B;DFS;0,75;0,2;78;0,82
GSE25066;FGD2;HER2-enriched;DFS;0,65;0,3;37;0,82
GSE25066;FGD2;Basal-like;DFS;0,15;-0,4;189;0,37
GSE25066;CDY1B;All-tumours;DFS;0,12;-0,3;508;0,52
GSE25066;CDY1B;Luminal-A;DFS;0,99;0;160;0,99
GSE25066;CDY1B;Luminal-B;DFS;0,59;0,3;78;0,77
GSE25066;CDY1B;HER2-enriched;DFS;0,62;-0,4;37;0,77
GSE25066;CDY1B;Basal-like;DFS;0,21;-0,3;189;0,52
GSE25066;EML3;All-tumours;DFS;0,31;0,2;508;0,92
GSE25066;EML3;Luminal-A;DFS;0,48;-0,3;160;0,92
GSE25066;EML3;Luminal-B;DFS;0,59;0,3;78;0,92
GSE25066;EML3;HER2-enriched;DFS;0,92;-0,1;37;0,92
GSE25066;EML3;Basal-like;DFS;0,85;0,1;189;0,92
GSE25066;WDR62;All-tumours;DFS;0,08;-0,3;508;0,13
GSE25066;WDR62;Luminal-A;DFS;0,04;-0,9;160;0,10
GSE25066;WDR62;Luminal-B;DFS;0,04;1,3;78;0,10
GSE25066;WDR62;HER2-enriched;DFS;0,1;-1,3;37;0,13
GSE25066;WDR62;Basal-like;DFS;0,77;-0,1;189;0,77
GSE25066;METTL2A;All-tumours;DFS;0,33;0,2;508;0,55
GSE25066;METTL2A;Luminal-A;DFS;0,86;-0,1;160;0,95
GSE25066;METTL2A;Luminal-B;DFS;0,29;-0,7;78;0,55
GSE25066;METTL2A;HER2-enriched;DFS;0,95;0;37;0,95
GSE25066;METTL2A;Basal-like;DFS;0,18;0,4;189;0,55
GSE25066;NUP43;All-tumours;DFS;0,32;0,2;508;0,48
GSE25066;NUP43;Luminal-A;DFS;0,38;0,3;160;0,48
GSE25066;NUP43;Luminal-B;DFS;0,08;-1,1;78;0,22
GSE25066;NUP43;HER2-enriched;DFS;0,62;0,4;37;0,62
GSE25066;NUP43;Basal-like;DFS;0,09;0,5;189;0,22
GSE25066;FBXW10B;All-tumours;DFS;0,47;-0,1;508;0,69
